n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
60,861,14,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,5,5,6,7,8,8,8,10,10,10,11,11,12,12,13,13,16,16,16,17,17,19,19,19,20,20,21,21,22,22,22,22,23,25,27,29,29,29,30,32,32,34,35,37
60,1185,19,1,1,1,2,2,2,2,2,4,5,5,5,6,7,8,10,10,10,12,12,14,14,16,16,16,17,17,18,19,20,20,20,20,21,22,22,23,25,25,25,25,26,26,26,27,28,29,29,32,32,36,36,37,37,38,42,42,43,48,49
60,3238,53,1,2,3,6,7,8,9,9,10,10,12,15,21,23,24,26,28,28,29,32,35,35,40,40,44,44,45,49,51,57,58,59,60,60,63,65,66,66,68,69,70,72,75,78,84,85,86,87,88,89,93,93,94,95,105,106,107,109,120,125
60,2056,34,1,1,1,3,5,6,7,7,9,10,11,12,12,12,15,16,17,18,19,19,23,23,25,25,25,25,26,29,29,30,31,34,35,35,40,40,41,43,45,47,48,48,49,49,51,51,53,55,58,61,61,61,62,66,67,68,68,71,78,79
60,2430,40,1,1,2,3,4,4,6,7,8,8,12,14,15,15,18,19,19,19,20,22,28,28,29,30,34,34,35,35,36,37,42,42,42,44,44,48,49,50,51,53,57,58,59,60,60,61,62,63,64,66,71,71,74,76,82,83,83,84,94,94
60,1542,25,1,1,3,3,3,4,4,5,6,6,7,7,8,8,9,10,10,10,11,13,15,15,17,17,18,19,21,21,23,25,25,26,27,27,28,29,30,30,31,31,35,36,38,38,40,42,42,42,42,45,46,47,51,51,52,53,57,58,60,63
60,1431,23,1,1,2,2,3,4,4,4,4,5,8,8,9,11,12,12,12,13,13,14,15,16,17,19,19,20,20,21,22,22,23,23,24,25,26,27,27,27,28,29,30,32,32,33,33,36,37,39,40,40,40,41,43,44,44,48,50,55,56,66
60,3717,61,1,1,2,7,9,9,10,15,17,18,20,21,25,28,28,30,32,32,34,38,43,44,44,45,48,48,51,51,57,61,64,66,72,74,77,77,78,79,79,79,81,81,82,84,85,92,94,99,101,101,102,105,106,111,118,119,122,126,143,151
60,3068,51,1,2,4,4,5,6,8,12,16,18,19,19,23,24,27,27,27,28,29,30,30,31,36,40,41,43,45,48,49,50,52,53,53,56,57,58,60,61,66,68,69,70,73,74,76,79,82,83,83,84,86,89,90,90,92,95,100,101,108,118
60,1649,27,1,1,1,1,5,6,6,7,7,7,8,8,9,9,10,11,12,12,13,15,18,18,19,20,22,22,24,24,24,25,26,27,28,32,33,33,34,35,35,36,36,37,40,41,42,42,43,45,45,46,46,47,47,49,53,56,59,59,64,68
60,2132,35,1,1,1,2,3,4,4,9,9,9,10,12,13,15,15,15,20,21,21,25,26,27,28,30,32,32,33,33,33,34,35,40,40,41,43,43,46,46,46,47,49,49,50,50,50,50,52,54,55,57,57,59,60,64,67,70,71,72,74,77
